Name,Star Rating,Verifed Review,Helpful Vote Count,Date,Author,Author Link,Review Link,Review Text
Good Quality but Nearly Useless - Umbrella for Little People - Like Walking with a Daiquiri Garnish,2,YES,0," July 3, 2018",Robert S. Blackie,https://amazon.com//gp/profile/amzn1.account.AFMOO4NZ3Y6L4Z5V4X64JEVSYQ6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R9Y91FN67RVAS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I cannot argue with the fact that this umbrella is of superb quality (which is the reason for my giving it 2 stars instead of 1), but the size is so small as to render it nearly useless for anyone over 5' tall (I am 5'10"" - hardly a giant). I had the opportunity to try out my new umbrella today in a steady rain with no wind, and after a 15 minute walk home I was wet from the chest down and my very small backpack was drenched. It's like walking with a strawberry daiquiri garnish, but at least those umbrellas come with a delicious alcoholic beverage. I had to walk intentionally slow just to keep the top third of my body dry. If I didn't live in Mexico I would return it, but from here it just wouldn't be worth the hassle. Now I see why the product listing doesn't indicate the size of the arc - just the length and weight. I'll give this to my 4'11"" sister when she comes to visit this month and buy another, larger one with the arc width clearly indicated. EXTREMELY disappointed."
... have to say this one is by far my favorite. It keeps me dry and has never inverted ...,5,YES,0," February 27, 2018",IJ,https://amazon.com//gp/profile/amzn1.account.AFLRVQAOTHJCIDW2IGLPEQ73FM2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3TDZY6UUOCQM1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I've owned at least 50 umbrellas (some bought off the street from a vendor or designer ones) in my lifetime and have to say this one is by far my favorite. It keeps me dry and has never inverted due to the wind (pet peeve). Want to know something else about this umbrella? The company that sells it is amazing with its customer service and lifetime warranty policy. The button started to not work as well (sometimes have to press it 2-3 times before it reacts) so I reached out to the company. Not only did they respond in record lightening speed time, the company sent out a replacement. This all happened in 12 hours!? Highly recommend this umbrella. I rarely give out 5 stars for anything but have to say between the quality of the umbrella and the customer service/lifetime guarantee, you can't go wrong."
classy cute umbrella,5,YES,0," March 25, 2018",lawAbidingCitizen,https://amazon.com//gp/profile/amzn1.account.AFCAPUB44UQO7OOAZGSPWRPR76IA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2PYPTHGVKZHHP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I have benkii before(less1 year) but i lost it :(this is the replacement i chose since it has lifetime warranty without needing to send the umbrella itself back (no need to ship the item if broken)and I expect no less on that promise :)pros: -feels more durable than other  small umbrella, you can notice it by the weight itself and the sturdiness of the main steel -teflon coated so it will dry very fast on rain -ribs feels like bendable durable material so it will survive sudden winds -very handy, fits on small bag -very classy look -lifetime warranty without needing to ship the item back!! (if it broke within a  year i might try this, with screen shot and video record)cons: -i thought the fabric would be a lot thicker since its teflon coated, not an issue though :) -the spring when opening is not super strong but its my preference only, i like it to be more stronger faster opennote: the cons is base on my preference because i have benkii before and as of  now my bag is small so I chose the top umbrella which i think this is :D kudos to the repel team!"
"Well made product, excellent vendor",5,YES,0," April 7, 2018",sherm624,https://amazon.com//gp/profile/amzn1.account.AE7RHL54BFQK4WJNVOQHRTYNQMWA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2VU5AOB5ZKUSS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Change from 2 to 5 stars.  After a not-so-great impression, I sent a message to the seller who promptly asked if I wanted a refund or replacement.  Needing an umbrella I asked for a replacement.  It arrived quickly and at no cost.  One of my original issues was that the button to open requires far too much effort, so does closing it.  This is still true, but I've come to realize the product (including this part) is well made.My first time using it was during a rainstorm with 50 mph gusts.  I walked 3 blocks from my work to a parking garage.  The umbrella inverted twice.  After that it did not open automatically (popped up but required manual pushing to lock in place.  I am grateful for the free replacement."
This one goes to 9...,5,YES,On," January 29, 2017",Mergatroid,https://amazon.com//gp/profile/amzn1.account.AFJVYV2OZXWPG2VBJBIF27AOKZ6A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1C6RZPQ5AB9SQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Nicely built. The metal shaft is black however, not chrome. Ribs have composite plastic components as well as metal. Easy to hold grip. Powerful spring to fully open and partially close. A little smaller profile in ""diameter"" and height than I expected when I first opened it, but it makes it easy to negotiate into and out of a vehicle with the smaller canopy during a downpour (disclaimer: downpour in Southern California). Overall, this is a quality built, lightweight umbrella. Comes with easy on / easy off cover. My last umbrella was nearly 30 years old, and I'm guessing I paid $10 or $12 for it, so the Repel at $24 seems like a good value. I always open mine indoors and let it dry before stowing, so we'll see how it lasts."
support,4,YES,On," January 23, 2018",Robert J. Moser,https://amazon.com//gp/profile/amzn1.account.AHR5XWL6PHMQRIO5G3POVEQCRJBA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2IXZTWAGCFRO5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I am a 67 year old banker, been banking for over 45 years. I have owned lots of umbrellas over those years. This is the worst umbrella I have ever used. I got it as a Christmas present and used it for the first (and only) time today. It broke on the first use. It is too late to be returned so I will throw it in the trash where it belongsUpdate the seller has agreed to refund the purchase price in the interest of customer support. That action is one of product confidence, unfortunately mine didn't work but many other reviewers were happy."
Excellent umbrella- would definitely recommend,5,YES,0," October 18, 2017",G Tan,https://amazon.com//gp/profile/amzn1.account.AGYALOHBRY5B6QN2E2LCZYHSGJQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R38B28WXFVZAY7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I like bullet points, thus: + Excellent build construction - does not feel flimsy or cheap. Has held up well against strong winds/downpours. + The small form factor is convenient and makes it easy to carry around. + The quick open/close function helps keep you dry (especially when attempting to enter a vehicle). + Lifetime guarantee is reassuring. That having been said, I can't speak upon their customer service because my umbrella hasn't had any issues. - Mildly more expensiveI believe this umbrella represents a great value. Great construction and I really like the quick open/close feature. It's a touch more expensive, but the build quality and lifetime guarantee easily justify it for me.My only complaint is that I wish it was bigger/ I had gotten a bigger version (which would kind of defeat its compact form factor). This umbrella works very well for an individual, but it is a bit difficult to keep two people dry if it is raining very hard.All in all, an amazing umbrella that I would definitely recommend."
Umbrella has lots of good features,4,YES,On," December 2, 2017",Lori C.,https://amazon.com//gp/profile/amzn1.account.AFT3P57PLXSQCS66OBDROWX3CBKA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2MWM35XABNLS4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"3rd party seller very involved, customer service communicated with me right away to make sure order and delivery went well and offered discount for next purchase. Umbrella has a lot of good features: appears very sturdy with prongs very reinforced with easy arrow triggers to put umbrella up and retract. However, to get it back to original full down position (pulling it toward the handle), I needed two hands to get it down. Due to the strong nature of perhaps those prongs, it is a bit heavy in weight than other umbrellas this size. The sure grip handle is nice, especially when wet. Hoping not to leave this one anywhere (why I bought the compact size to throw in my purse and not on floor)."
"NOT ""super light"" or lightweight. Misleading product description.",2,YES,On," July 20, 2017",JulieT,https://amazon.com//gp/profile/amzn1.account.AGK43CS2EQXDAKYCMJFWOSGLHTKA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R32MI0NB3GP1HV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I was looking for a lightweight umbrella to replace my stolen Davek Mini. This one looks sturdy, and certainly could last a few heavy rains, but is NOT lightweight at all and not compact compared to all the other umbrellas that I have purchased so far. The handle is heavy, and it is too big for my regular purse. Well, since I live abroad and cannot return it (I would if I could!), I will keep it as a replacement umbrella in my car, but I am upset by such a misleading description. Will not buy again from this seller.EDIT: got a refund for this item."
Nope nope nope,1,YES,On," June 15, 2018",BillyP,https://amazon.com//gp/profile/amzn1.account.AEEZLLDI55WEESYVMHGXV56FYY7A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3DZFN2UG65VIZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I moved to San Francisco and needed an umbrella since it rained there 60% of the time. The second time I used this umbrella it was in medium rainfall with heavy winds. Within a few minutes of stepping outside the house the wind overturned my umbrella and it was a struggle to fix it while I was walking in the rain. Once that was done, I decided to put the umbrella in my backpack and use my hood instead, which frankly was so much better. I wouldn‰Ûªt recommend this umbrella as it can not withstand heavy winds."
Not what I had hoped....,2,YES,0," May 2, 2018",Krysrox413,https://amazon.com//gp/profile/amzn1.account.AH3ASZ5HNS7JTQZ4KMF7HU6TOEVA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1TAZBYWXO32JU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"For all the money I paid for this umbrella, I'm incredibly disappointed that after TWO uses, the inner metal is rusting! I left it open, (not fully, since it would be in the way in my small home), but it took an eternity to dry out and when it finally had, I noticed the rust! I expected a much better quality at the cost I paid. Also, the inside has plastic parts! I was purchasing this for it's ""windproof"" ability. I guess they meant a light breeze. In real weather, this isn't the go-to. Of course, I bought it in preparation of the bad weather, and am past my return period. Oh well. Live and learn."
Nice while it lasted,3,YES,2," January 9, 2017",Ben Perkins,https://amazon.com//gp/profile/amzn1.account.AHKIN6PEEFJQ4TVRQZQCWKRCCGOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RFQF9RKZK0PT1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"It's ok, the build quality seemed nice at first, it's certainly not flimsy and it can hold up to strong winds. However, after only using it a few times, the hinges that hold the fabric are starting to rust and I can no longer collapse it without significant effort (it appears the outer metal tube of the handle is getting jammed on the inner one when I push it to lock). If it doesn't collapse all the way, it can't be re-opened, so I'm always worried that it won't close and I'll be left without an umbrella. Considering I've only used it about 6 times, I'm very disappointed."
Stands up to tough weather,5,YES,On," August 10, 2017",Alexandria,https://amazon.com//gp/profile/amzn1.account.AHP3DIV4DM67HEF4HF5X2WKVZBBA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RS0OF5SXVLJEM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I live in Chicago suburbia so I have very little tolerance for subpar coats, boots, umbrellas, etc. We really need our weather-related items to work as hard as we do!I am very pleased with this umbrella because not only does it shield me from precipitation, but it is also made to withstand strong winds.Certainly, every product has its limit, and I'm sure if you simulated a strong enough wind gust perhaps you could make this umbrella turn inside out. However it would take a storm that is newsworthy even in these parts, as in you may hear the tornado sirens. 99% of the time this umbrella will be more than sufficient and it is competitively priced, so I'm very satisfied.I especially appreciate the frame. The ""bones"" of the umbrella are not like a typical umbrella, and I believe the product description mentions that they are made differently."
Great size.,4,YES,0," June 10, 2018",Seaside Sarah,https://amazon.com//gp/profile/amzn1.account.AHNYUKANXDWRTBV4RWDMSBFEZ4UA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/ROM02O0Z6OVH4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"For a compact umbrella, it's a ""big"" umbrella with great coverage.  It opens in a snap, closes almost as easily.  I bought it for an upcoming trip but will no doubt continue to use it as my mobile umbrella (keep in the car).  Only negatives were it's weight (a bit hefty for travel), and the instructions tell you to push the red button to open/close.  There is no ""red"" button, it's a black button but clearly marked with white up and down arrows, so was not a big issue.  The warranty is exceptional, never seen one like it on an umbrella at this price."
Can withstand powerful wind,5,YES,0," May 6, 2018",Zavage,https://amazon.com//gp/profile/amzn1.account.AELK5TBE4VPHXIQCPQGUSTZ5B6MA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3DKA9NOG9VKGB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Being a bachelor, I never really felt the need to own an umbrella since I could just wear a hooded jacket if necessary. Reality hit me in the face real quick when it stormed intensely one day as I was walking across campus. It was miserable as you could guess. So of course, I decided to finally get my first umbrella and ran across this beaut. I have absolutely no complaints for it: it's simple and black as it should be, it opens up very easily, and has so far been able to resist powerful winds. I'll be using this for as long as I possibly can when needed."
Great product and customer service,5,YES,0," January 3, 2017",M.G.M.,https://amazon.com//gp/profile/amzn1.account.AF25UIQDUIRHDQVENZHR4LJO3MWQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2N49PV4SATPX7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"The umbrella feels sturdy. Haven't experienced any significant wind gust to test the tolerance of the umbrella. The only negative about the umbrella is the rust that is starting to develop around the aluminum rib cages.2/11/17 - Tested the umbrella under strong wind conditions and the umbrella held up extremely well. The umbrella did flip over once, however, no damage to the aluminum frame. Purchased another umbrella today as a gift.1/6/17Edit - upgraded item from 3 stars to 5 stars. Rebecca from customer service reached out to me in regards to the defective product after the warranty had expired. 2 options: replacement or refund. This is my go to umbrella so a replacement was the only alternative. As an added bonus, I get to keep my original umbrella.Thank you Upper Echelon Products!"
Has potential - top piece unreliable,4,YES,On," June 19, 2017",Kevin Lee,https://amazon.com//gp/profile/amzn1.account.AHKFI6EAHKFWMILR2MVWOAH2OZ4A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R111SPOWC9T6P1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"**Update: I'm updating my review from 2 to 4 stars as the company was insanely fast with reaching out to me and getting me a replacement umbrella. I've used the new one twice and so far so good - as I mentioned before, the construction is sturdy but only time will tell if it stays that way. However, would recommend buying this umbrella based on their customer service alone.The ONE time I got to use the umbrella I could tell that the canopy and spokes were pretty sturdy. However, as a couple of other reviews have mentioned, the top piece is either very loose or not constructed well. The second time I went to grab it, I noticed the top piece had disappeared and was nowhere to be found. This causes rain to get into the umbrella...which sort of defeats the whole purpose of having an umbrella. I've owned at least 15 different umbrellas in my life and not one (yes, not even the $5 umbrellas you get from the guys selling on the street when it's raining) has lost the top piece. In fact, I didn't even know it was a removable piece until I found it missing on this one. If the top piece was constructed better, this umbrella would be worth a much higher rating."
well-made umbrella,5,YES,0," February 5, 2018",Mitch,https://amazon.com//gp/profile/amzn1.account.AFSXJ26OOGE5VW5SSZDLWDFNCLSA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2TZXSV036CUHY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I ordered this during a rainstorm and since it arrived, I haven't had a chance to use it outside yet.  So this is a review based on my initial impressions.  I'd been alternating between 2 very old umbrellas that have been in horrible shape for years.  When I saw this on sale and read the reviews, I decided to treat myself to one.  So far I'm impressed.  It feels very durable.  It is beautifully and thoughtfully designed.  For example, the handle has a nice texture that makes it easy to grip.  And the handle is not round, it's oval, so it fits very comfortably in my hand.  I prefer it's fabric wrist strap to the plastic straps on my old umbrellas.  Time will tell how well it holds up with use during winter and spring rains, which I hope are forthcoming!  It's a little heavier than each of my old umbrellas, and I consider that a good sign.  I'm happy with my purchase so far."
Good value!,5,YES,0," January 25, 2017",Clifford Carroll,https://amazon.com//gp/profile/amzn1.account.AFOQLBQ6NCH2DYGGCS6ABMZGDX2A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RY5UFBLUZV4CF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This umbrella is of better apparent quality than any other similar umbrella I have owned before. I have not owned it long enough to discover how durable it is. Examination of the mechanism that opens it reveals that it is way more intricate than others I have owned.  Interestingly, there is no catch to keep it open once it is deployed, but the springs have sufficient tension to keep it open. If I encounter a windy day strong enough to collapse it, then I will not be happy. As Repel states that I now have a ""lifetime"" warranty, I am not concerned about quality. Assuming, of course, Repel is even still in business once this thing wears out.  Since I live where rain is not very common, it will take years for me to wear it out. For now, I am happy!"
Sturdy and Well-Constructed,4,YES,On," August 17, 2017",Justin Paul,https://amazon.com//gp/profile/amzn1.account.AEWMSSKFUODOQ6GHIWQWGCI7RZOA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3VOD7UNURBHQZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Feels sturdy and a well constructed umbrella. I find that the handle is a little too short to grip, but that is fair as any increase in length of the handle would make the umbrella's overall length longer. Doesn't feel like a flimsy umbrella in any way.Edit: I have had this umbrella for slightly more than half a year now. Having used it for both rain and shine, I have noticed several weak points.‰ÔÊThe strings holding the ribs are mostly loose by now, distorting the umbrella making it worse at handling gusts.‰ÔÁThe joints at the ribs and shaft are starting to show signs of rusts, the rusts also stains the underside of the canopy‰Ô¢There was a round cap on top of the umbrella, which is brittle. It broke off and so did the flower shaped design. (Purely aesthetics)I hope it'll last another year or so. I'll update if I have more information to share."
Eh...,2,YES,0," October 8, 2017",Marie,https://amazon.com//gp/profile/amzn1.account.AEGH6MUAL5N4CRQ7PIOPXPCODBAA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R38VTOY6LQA7PD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"First of all, this umbrella really does hold its own against strong winds. It won't turn inside-out on you.Unfortunately, mine has broken down for non-wind reasons despite minimal use. I've only used the umbrella a few times, and at least two different ribs have snapped where the last segment should connect. So instead of a nice uninterrupted dome shape, there are a few areas on the umbrella where a rib goes limp and the fabric sags unattractively - and sometimes spills rainwater unexpectedly.I don't know that I would recommend this item. I'm pretty disappointed after investing in a ""nice"" umbrella for a change."
